method,ann_ret,ann_vol,sharpe,max_dd,calmar,win_rate,n_days,start,end
ERC  Q4 (25%),0.1446,0.227,0.637,-0.4159,0.348,0.545,2170,2017-05-16,2025-12-31
ERC  Q3 (33%),0.1209,0.1913,0.632,-0.3565,0.339,0.545,2170,2017-05-16,2025-12-31
