label,ann_ret,ann_vol,sharpe,max_dd,calmar,win_rate
Bottom 1,0.1835,0.4457,0.412,-0.6888,0.266,0.508
Bottom 3,0.1857,0.375,0.495,-0.6128,0.303,0.525
Bottom 5,0.1851,0.356,0.52,-0.6222,0.297,0.529
Bottom 10,0.1743,0.3197,0.545,-0.5587,0.312,0.533
Bottom 15,0.169,0.3005,0.562,-0.5361,0.315,0.536
