label,ann_ret,ann_vol,sharpe,max_dd,calmar,win_rate,n_days
Rev 1d Equal Wt,0.1085,0.2668,0.407,-0.4781,0.227,0.524,2170
Rev 1d ERC,0.1084,0.2668,0.406,-0.4781,0.227,0.524,2170
Rev 5d Equal Wt,0.1637,0.2756,0.594,-0.5091,0.322,0.53,2170
Rev 5d ERC,0.1637,0.2756,0.594,-0.5091,0.322,0.53,2170
Rev 10d Equal Wt,0.1424,0.2808,0.507,-0.5252,0.271,0.533,2170
Rev 10d ERC,0.1424,0.2808,0.507,-0.5252,0.271,0.533,2170
Rev 21d Equal Wt,0.1066,0.2834,0.376,-0.5363,0.199,0.534,2170
Rev 21d ERC,0.1066,0.2834,0.376,-0.5363,0.199,0.534,2170
