label,ann_ret,ann_vol,sharpe,max_dd,calmar,win_rate,pct_invested
Bottom half  Always-on,0.1614,0.2471,0.653,-0.4433,0.364,0.533,1.0
Bottom half  VIX > 20,0.169,0.2089,0.809,-0.3887,0.435,0.193,0.341
