label,ann_ret,ann_vol,sharpe,max_dd,calmar,win_rate
SPY buy & hold,0.1527,0.1812,0.842,-0.3372,0.453,0.555
ERC Momentum top2/bot2 L/S,0.0337,0.2033,0.166,-0.4155,0.081,0.521
ERC Reversal bot2 VIX>20,0.1213,0.1874,0.647,-0.351,0.346,0.175
Combined Equal-Vol,0.0688,0.1157,0.594,-0.1367,0.503,0.535
