label,ann_ret,ann_vol,sharpe,max_dd,calmar,win_rate
Combined signal ERC (mom252 + rev5d),0.1167,0.1873,0.623,-0.356,0.328,0.536
ERC Momentum only (252d),0.1446,0.227,0.637,-0.4159,0.348,0.545
ERC Reversal only (5d L/S),0.0324,0.1952,0.166,-0.4407,0.074,0.493
